path_id,model,abs_time,abs_state,steps
0,A,1.0245,1,10245
0,B,0.2989,0,2989
1,A,0.80100000000000005,1,8010
1,B,0.63640000000000008,1,6364
2,A,0.6129,1,6129
2,B,0.24210000000000001,0,2421
3,A,0.50540000000000007,1,5054
3,B,0.72820000000000007,1,7282
4,A,0.4597,1,4597
4,B,2.1219000000000001,1,21219
5,A,1.7211000000000001,1,17211
5,B,0.65470000000000006,0,6547
6,A,0.85940000000000005,1,8594
6,B,0.63640000000000008,0,6364
7,A,0.66500000000000004,0,6650
7,B,0.81330000000000002,1,8133
8,A,0.76750000000000007,1,7675
8,B,0.39019999999999999,0,3902
9,A,0.5978,1,5978
9,B,0.1341,0,1341
10,A,1.1961000000000002,1,11961
10,B,1.0409000000000002,0,10409
11,A,1.234,1,12340
11,B,1.9503000000000001,1,19503
12,A,0.37809999999999999,1,3781
12,B,0.8580000000000001,0,8580
13,A,1.2198,1,12198
13,B,1.1163000000000001,1,11163
14,A,1.1807000000000001,1,11807
14,B,0.54449999999999998,0,5445
15,A,0.69390000000000007,1,6939
15,B,0.40670000000000001,0,4067
16,A,0.62870000000000004,1,6287
16,B,3.0687000000000002,0,30687
17,A,0.41310000000000002,1,4131
17,B,0.48080000000000001,0,4808
18,A,1.6364000000000001,1,16364
18,B,0.97610000000000008,1,9761
19,A,0.63550000000000006,1,6355
19,B,1.4206000000000001,0,14206
20,A,0.23530000000000001,1,2353
20,B,4.2401,0,42401
21,A,0.53510000000000002,0,5351
21,B,2.6981000000000002,0,26981
22,A,1.216,1,12160
22,B,2.1616,1,21616
23,A,0.89430000000000009,0,8943
23,B,1.1721000000000001,0,11721
24,A,0.78720000000000001,1,7872
24,B,0.17850000000000002,0,1785
25,A,0.53990000000000005,1,5399
25,B,0.2626,0,2626
26,A,1.0131000000000001,1,10131
26,B,2.2806000000000002,0,22806
27,A,0.35010000000000002,1,3501
27,B,0.24050000000000002,0,2405
28,A,0.79139999999999999,1,7914
28,B,0.97950000000000004,0,9795
29,A,1.5248000000000002,1,15248
29,B,2.0396000000000001,0,20396
30,A,0.61550000000000005,1,6155
30,B,1.8472000000000002,1,18472
31,A,1.0572000000000001,1,10572
31,B,1.5969,1,15969
32,A,0.40250000000000002,1,4025
32,B,1.3129,0,13129
33,A,0.38570000000000004,1,3857
33,B,0.49410000000000004,0,4941
34,A,0.68640000000000001,1,6864
34,B,0.4627,0,4627
35,A,1.2484,1,12484
35,B,1.3951,1,13951
36,A,0.63580000000000003,1,6358
36,B,0.41889999999999999,0,4189
37,A,0.49370000000000003,1,4937
37,B,0.26469999999999999,0,2647
38,A,0.61680000000000001,1,6168
38,B,1.8163,1,18163
39,A,1.3943000000000001,1,13943
39,B,1.0144,0,10144
40,A,1.0723,1,10723
40,B,0.3049,0,3049
41,A,0.50729999999999997,1,5073
41,B,0.96879999999999999,0,9688
42,A,0.33000000000000002,1,3300
42,B,1.5382,0,15382
43,A,1.5706,1,15706
43,B,0.84850000000000003,0,8485
44,A,1.2895000000000001,1,12895
44,B,0.53549999999999998,1,5355
45,A,0.55310000000000004,1,5531
45,B,0.81859999999999999,0,8186
46,A,0.45550000000000002,1,4555
46,B,0.55120000000000002,0,5512
47,A,0.44990000000000002,1,4499
47,B,0.16390000000000002,0,1639
48,A,0.2717,1,2717
48,B,0.78960000000000008,0,7896
49,A,0.46990000000000004,1,4699
49,B,0.84810000000000008,0,8481
50,A,1.1072,1,11072
50,B,1.5027000000000001,0,15027
51,A,1.1531,1,11531
51,B,1.3574000000000002,0,13574
52,A,0.92410000000000003,1,9241
52,B,1.1520000000000001,0,11520
53,A,0.74670000000000003,1,7467
53,B,0.37090000000000001,0,3709
54,A,0.55500000000000005,1,5550
54,B,0.33680000000000004,0,3368
55,A,0.38970000000000005,1,3897
55,B,0.81670000000000009,1,8167
56,A,2.0073000000000003,1,20073
56,B,0.20200000000000001,0,2020
57,A,0.77190000000000003,1,7719
57,B,0.21830000000000002,0,2183
58,A,0.57520000000000004,1,5752
